Species,AphiaID
Actinia equina,100803
Actinia fragacea,100805
Actinothoe sphyrodeta,100986
Ahnfeltia plicata,144422
Ahnfeltiopsis devoniensis,145651
Alca torda,137128
Alcyonium digitatum,125333
Alosa fallax,126415
Anas platyrhynchos,148791
Anemonactis mazeli,100924
Anemonia viridis,100808
Anguilla anguilla,126281
Anthopleura thallia,100812
Aplysia fasciata,138755
Arnoglossus laterna,127126
Asterias rubens,123776
Asterina gibbosa,123987
Aulactinia verrucosa,100815
Belone belone,126375
Bifurcaria bifurcata,145503
Bispira volutacornis,130875
Blidingia minima,145950
Calidris alpina,159047
Calidris canutus,147433
Calliblepharis jubata,145614
Callionymus lyra,126792
Callithamnion tetricum,144530
Calonectris diomedea,137194
Cancer pagurus,107276
Centrolabrus exoletus,126961
Charonia lampas,141101
Chelidonichthys cuculus,127259
Chelidonichthys lucerna,127262
Chelidonichthys obscurus,127263
Chelon auratus,1044127
Chelon labrosus,126977
Chondracanthus acicularis,145623
Chondracanthus teedei,145624
Chondria coerulescens,144796
Chondrus crispus,145625
Chthamalus montagui,106230
Chthamalus stellatus,106231
Cladophora rupestris,145064
Cliona celata,134121
Codium tomentosum,145092
Coryphoblennius galerita,126762
Ctenolabrus rupestris,126964
Cystoseira baccata,145507
Delphinus delphis,137094
Dicentrarchus labrax,126975
Dicologlossa cuneata,127154
Dilsea carnosa,145222
Diplodus sargus,127053
Diplodus vulgaris,127054
Dumontia contorta,145228
Echinus esculentus,124287
Electra pilosa,111355
Ellisolandia elongata,732248
Eunicella verrucosa,125366
Eutrigla gurnardus,150637
Felimare cantabrica,597543
Fucus spiralis,145547
Gavia immer,137187
Gelidium corneum,145579
Gelidium pulchellum,145588
Gigartina pistillata,145626
Gracilaria gracilis,145700
Grateloupia turuturu,295880
Halichondria panicea,165853
Haliotis tuberculata,140059
Halopteris scoparia,182742
Holothuria (Panningothuria) forskali,124501
Holothuria forskali,124501
Hydrobates pelagicus,137189
Hymeniacidon perlevis,132663
Labrus bergylta,126965
Labrus mixtus,151501
Laminaria hyperborea,145725
Laminaria ochroleuca,145728
Larus fuscus,137142
Larus melanocephalus,137147
Larus michahellis,232052
Larus ridibundus,137149
Leptogorgia sarmentosa,125369
Leptopsammia pruvoti,135193
Lichina pygmaea,147720
Lithophyllum incrustans,145152
Littorina littorea,140262
Marthasterias glacialis,123803
Mastocarpus stellatus,145650
Melanitta nigra,137073
Melarhaphe neritoides,140266
Merluccius merluccius,126484
Mesophyllum lichenoides,145188
Morus bassanus,148776
Mullus surmuletus,126986
Mytilus galloprovincialis,140481
Nucella lapillus,140403
Numenius phaeopus,159040
Octopus vulgaris,140605
Osmundea pinnatifida,144847
Pagellus acarne,127057
Palaemon serratus,107616
Paracentrotus lividus,124316
Patella depressa,151374
Patella pellucida,147459
Patella vulgata,140685
Pawsonia saxicola,124653
Pegusa lascaris,127156
Petromyzon marinus,101174
Phalacrocorax carbo,137179
Phorcus lineatus,689176
Pollachius pollachius,126440
Pollicipes pollicipes,106177
Polybius henslowii,107399
Porphyra umbilicalis,144437
Puffinus mauretanicus,445503
Raja undulata,105891
Rhodymenia pseudopalmata,145855
Sabellaria alveolata,130866
Saccorhiza polyschides,145735
Sarda sarda,127021
Sardina pilchardus,126421
Sargassum muticum,494791
Scinaia furcellata,145743
Scomber scombrus,127023
Scorpaena notata,127246
Scyliorhinus canicula,105814
Serranus cabrilla,127041
Siphonaria pectinata,141470
Solea solea,127160
Spirobranchus triqueter,555935
Spondyliosoma cantharus,127066
Stercorarius skua,137174
Steromphala umbilicalis,1039850
Symphodus bailloni,273566
Syngnathus acus,127387
Tedania (Tedania) pilarriosae,169575
Tethya citrina,134312
Thorogobius ephippiatus,126937
Trachurus trachurus,126822
Trisopterus luscus,126445
Ulva clathrata,156078
Ulva intestinalis,234471
Ulva prolifera,234476
Ulva rigida,145990
Uria aalge,137133
Verrucaria maura,147758
